condition,seed,rate_ms,zeroed,ep_seed,win,draw,steps,n_messages,window_open_frac
A,2,250,0,5200008,1,0,72,15,1.0
A,2,250,0,5200009,1,0,91,19,0.7368421052631579
A,2,250,0,5200010,1,0,97,20,1.0
A,2,250,0,5200011,1,0,119,24,0.9583333333333334
A,2,250,0,5200012,1,0,74,15,0.9333333333333333
A,2,250,0,5200013,1,0,161,33,0.8484848484848485
A,2,250,0,5200014,1,0,104,21,0.9523809523809523
A,2,250,0,5200015,1,0,79,16,0.75
A,2,250,0,5200024,1,0,129,26,0.6923076923076923
A,2,250,0,5200025,1,0,130,26,0.6923076923076923
A,2,250,0,5200026,1,0,117,24,0.875
A,2,250,0,5200027,1,0,98,20,1.0
A,2,250,0,5200000,1,0,149,30,0.9666666666666667
A,2,250,0,5200001,1,0,118,24,0.9583333333333334
A,2,250,0,5200002,1,0,111,23,0.9130434782608695
A,2,250,0,5200003,1,0,92,19,0.631578947368421
A,2,250,0,5200020,1,0,121,25,1.0
A,2,250,0,5200021,1,0,113,23,0.9565217391304348
A,2,250,0,5200022,1,0,112,23,0.9565217391304348
A,2,250,0,5200023,1,0,112,23,0.8260869565217391
A,2,250,0,5200016,1,0,171,35,0.8
A,2,250,0,5200017,1,0,123,25,0.92
A,2,250,0,5200018,1,0,118,24,0.9166666666666666
A,2,250,0,5200019,1,0,117,24,0.9166666666666666
A,2,250,0,5200004,1,0,127,26,0.8461538461538461
A,2,250,0,5200005,1,0,129,26,0.7692307692307693
A,2,250,0,5200006,1,0,73,15,0.9333333333333333
A,2,250,0,5200007,1,0,215,43,0.8837209302325582
A,2,250,0,5200032,1,0,47,10,1.0
A,2,250,0,5200033,1,0,118,24,0.9166666666666666
A,2,250,0,5200034,1,0,101,21,0.7619047619047619
A,2,250,0,5200035,0,0,76,16,1.0
A,2,250,0,5200036,1,0,106,22,0.9545454545454546
A,2,250,0,5200037,1,0,66,14,0.9285714285714286
A,2,250,0,5200038,1,0,74,15,0.9333333333333333
A,2,250,0,5200039,1,0,108,22,1.0
A,2,250,0,5200048,1,0,119,24,0.9583333333333334
A,2,250,0,5200049,1,0,74,15,0.8
A,2,250,0,5200050,1,0,115,23,1.0
A,2,250,0,5200051,1,0,108,22,1.0
A,2,250,0,5200044,1,0,78,16,1.0
A,2,250,0,5200045,0,0,170,34,0.9705882352941176
A,2,250,0,5200046,1,0,108,22,0.9545454545454546
A,2,250,0,5200047,1,0,110,22,0.8636363636363636
A,2,250,0,5200056,1,0,108,22,0.9545454545454546
A,2,250,0,5200057,1,0,68,14,0.7857142857142857
A,2,250,0,5200058,1,0,86,18,0.8888888888888888
A,2,250,0,5200059,1,0,117,24,0.9583333333333334
A,2,250,0,5200060,1,0,130,26,0.8461538461538461
A,2,250,0,5200061,1,0,62,13,1.0
A,2,250,0,5200062,1,0,66,14,0.9285714285714286
A,2,250,0,5200063,1,0,114,23,1.0
A,2,250,0,5200068,1,0,103,21,1.0
A,2,250,0,5200069,1,0,109,22,0.8636363636363636
A,2,250,0,5200070,1,0,97,20,1.0
A,2,250,0,5200071,1,0,112,23,1.0
A,2,250,0,5200052,1,0,78,16,0.875
A,2,250,0,5200053,1,0,111,23,0.9565217391304348
A,2,250,0,5200054,1,0,105,21,0.9523809523809523
A,2,250,0,5200055,1,0,389,78,0.6025641025641025
A,2,250,0,5200064,0,0,269,54,0.6851851851851852
A,2,250,0,5200065,1,0,119,24,0.8333333333333334
A,2,250,0,5200066,1,0,142,29,0.9655172413793104
A,2,250,0,5200067,1,0,108,22,0.9545454545454546
